tick,tick_dt,input_force,output_ang_vel,output_angle,output_position,output_speed
162.0,0.009280665777623653,-2.1202289875745902e-05,9.646493215914362e-07,4.6177936569818364e-08,2.3120956365418813e-07,6.350462395760934e-07
163.0,0.01056336984038353,2.8628692497344486e-06,-3.572374874680595e-07,5.636788412006377e-08,2.3791779194857521e-07,6.343565502470444e-07
164.0,0.009646160528063774,4.031346072754978e-05,2.6475500270337805e-06,5.29219139693047e-08,2.4403689706428697e-07,1.3186881594874002e-06
165.0,0.009972210973501205,-2.1181841566011857e-05,6.042102609024141e-07,7.932384140178437e-08,2.571871335989533e-07,8.318250580389176e-07
166.0,0.010459945537149906,1.7999768228552897e-05,-1.0330111357977563e-06,8.564384782381075e-08,2.6588797840247695e-07,-2.114763856762244e-07
167.0,0.009150353260338306,2.73737146882196e-05,7.012380671542782e-07,7.619143100939798e-08,2.6395289476731994e-07,4.625441119005203e-07
168.0,0.01043724175542593,2.5649162397804857e-06,-5.32572785124033e-07,8.351042224439478e-08,2.6878057948577444e-07,5.16524367872088e-07
169.0,0.009925618767738342,3.96773717106282e-05,2.6820939466871512e-06,7.8224307813181e-08,2.739074034455198e-07,1.2890294070334365e-06
170.0,0.009810658171772957,-2.4541979404479692e-05,5.094612652688667e-07,1.0453741470871008e-07,2.86553630331288e-07,4.260640580157426e-07
171.0,0.00975734367966652,4.736711485719373e-06,3.1989954691478483e-07,1.0950840336541616e-07,2.9071088377490096e-07,3.3021716057796247e-07
172.0,0.010859179310500622,6.404602848234267e-06,1.4401465980658026e-07,1.1298224990671171e-07,2.942967711330214e-07,2.2494520859133357e-07
173.0,0.009741623885929585,7.479308610396656e-06,9.371007287506755e-07,1.1438518655660752e-07,2.9648810275006014e-07,3.941622243228059e-07
174.0,0.010088395327329636,-9.406170453142345e-06,-5.848120894606625e-07,1.2383902916977304e-07,3.004645670921282e-07,2.0817836651048066e-07
175.0,0.00970358494669199,2.7054814751702454e-05,-9.377055141688467e-07,1.1816425538183906e-07,3.0248464355562624e-07,-2.265272602225193e-07
176.0,0.010393334552645683,2.231314581221706e-05,-1.996171372451958e-08,1.084183682612216e-07,3.001302699548394e-07,1.349460791212053e-07
